epoch,learning_rate,train_loss,train_accuracy,train_accuracy_background,train_accuracy_cloud,train_accuracy_shadow,train_iou,train_iou_background,train_iou_cloud,train_iou_shadow,train_precision,train_precision_background,train_precision_cloud,train_precision_shadow,train_recall,train_recall_background,train_recall_cloud,train_recall_shadow,train_f1-score,train_f1-score_background,train_f1-score_cloud,train_f1-score_shadow,val_loss,val_accuracy,val_accuracy_background,val_accuracy_cloud,val_accuracy_shadow,val_iou,val_iou_background,val_iou_cloud,val_iou_shadow,val_precision,val_precision_background,val_precision_cloud,val_precision_shadow,val_recall,val_recall_background,val_recall_cloud,val_recall_shadow,val_f1-score,val_f1-score_background,val_f1-score_cloud,val_f1-score_shadow
1,0.0001,0.2990456594,0.8354011355,0.8364464129,0.8746206403,0.9597352178,0.5882957556,0.7659642048,0.692473635,0.306449427,0.6804601757,0.9645556257,0.7125791443,0.3642457572,0.8026179828,0.7881480232,0.9608497785,0.6588561466,0.7183017156,0.8674742134,0.8182976924,0.469133241,1.145365035,0.7867549966,0.7870971042,0.8725331359,0.9138797531,0.5269238424,0.706440611,0.663569719,0.2107611972,0.8326455491,0.7537632568,0.8538248876,0.8903485027,0.6277917334,0.9183827228,0.7486148875,0.21637759,0.657960802,0.8279697593,0.7977660466,0.3481466001
2,0.0001,0.230846905,0.8793155578,0.8794509807,0.9075606153,0.9716195196,0.6623099194,0.8269926358,0.7542454517,0.4056916707,0.7427584978,0.9703368562,0.7751013251,0.4828373122,0.843813848,0.8484422041,0.965554385,0.7174449549,0.7808088025,0.9053048376,0.8599086871,0.5772128826,1.253781114,0.7809889273,0.7815797572,0.8589661202,0.9214319772,0.549965814,0.7112540033,0.5868439336,0.3517995051,0.8250909839,0.7495551226,0.859911108,0.8658067209,0.651313189,0.9329726458,0.6488788782,0.372088043,0.6971312317,0.8312664302,0.7396366097,0.5204906553
3,0.0001,0.1571921862,0.886138011,0.8861923683,0.9177405981,0.9683430557,0.6751050486,0.8349334539,0.7779909188,0.4123907732,0.7416263387,0.9824299965,0.7898508233,0.4525981962,0.8838054707,0.8475897845,0.9810652541,0.8227613736,0.7897127916,0.9100422166,0.8751348621,0.5839612959,1.062845587,0.7949277508,0.7969735672,0.8802121746,0.9126697597,0.5319049537,0.7268537958,0.6589715028,0.2098895624,0.8352431074,0.7951006976,0.7833224302,0.9273061945,0.6378826512,0.8943822492,0.805864897,0.2134008075,0.6610715686,0.84182436,0.7944337822,0.3469565635
4,0.0001,0.2069476569,0.8915903344,0.8916672664,0.9175755997,0.9739378028,0.6850912263,0.844163997,0.7754446912,0.4356649906,0.7602661899,0.9734565701,0.7953694522,0.5119725473,0.8592842636,0.8640527494,0.9687057001,0.7450943412,0.7986455828,0.9154977522,0.8735216535,0.6069173428,1.341599203,0.7743374889,0.774528104,0.8805788849,0.893567989,0.520020004,0.6900526742,0.6734864385,0.1965208995,0.8516083729,0.7309443827,0.860616739,0.963263997,0.6263182104,0.9250081225,0.7559416183,0.1980048904,0.6499941187,0.8166049315,0.8048902255,0.3284871991
5,0.0001,0.1459123269,0.8933336483,0.8933567061,0.923073297,0.9702372936,0.6887563873,0.8452641141,0.7892988852,0.4317061627,0.7520132466,0.983081297,0.8017162597,0.4712421832,0.8919263915,0.8577415839,0.9807545561,0.8372830344,0.8004844616,0.9161443151,0.8822437567,0.6030653131,1.090152067,0.7626611966,0.7647426321,0.864189444,0.8963903171,0.5329566503,0.675209081,0.6290569972,0.2946038726,0.8100690304,0.759908464,0.7436563259,0.9266423012,0.6543941682,0.8583140147,0.8032296963,0.3016387936,0.6778469803,0.8061191747,0.7722958721,0.4551258942
6,0.0001,0.1383624201,0.8994830733,0.8995038314,0.9276375076,0.9718248077,0.7009819356,0.8540319613,0.7994724731,0.4494413723,0.7611482107,0.9844119351,0.8114548761,0.4875778207,0.8997905416,0.865739803,0.9818645797,0.851767242,0.8099970536,0.9212699447,0.8885631595,0.6201580566,1.190001873,0.7809348946,0.7814402566,0.8576363635,0.9227931692,0.55285318,0.6937667033,0.6351403251,0.3296525115,0.8164460741,0.7505986817,0.8363721581,0.8623673824,0.6582738971,0.9016019755,0.7252603393,0.3479593766,0.6973036117,0.8191998366,0.7768633864,0.4958476123
7,0.0001,0.1924857356,0.9006795802,0.9007326711,0.9248027406,0.9758237487,0.7030837868,0.8570379276,0.7911780571,0.4610353757,0.7743556878,0.9751078288,0.8112780602,0.5366811742,0.8705667638,0.8762077129,0.9696358706,0.7658567079,0.8125134163,0.9230160729,0.8834164241,0.6311077519,1.489379118,0.7812776016,0.7813060421,0.8751767543,0.9060724069,0.5263310657,0.7032682904,0.654298951,0.2214259557,0.8502624888,0.7398793444,0.8717130115,0.9391951104,0.627641952,0.9342644761,0.7240150183,0.2246463615,0.659795043,0.8257868644,0.7910286718,0.3625695928
8,0.0001,0.1328738079,0.9039994072,0.9040142647,0.9308286683,0.9731558815,0.7101559167,0.8605245282,0.8066736344,0.4632695875,0.7684315157,0.9849959414,0.8185761019,0.5017225037,0.9040985112,0.8719541328,0.9822939554,0.8580474455,0.8170751298,0.9250343278,0.8929931992,0.6331978624,0.8499991335,0.8066128403,0.8072318917,0.8835044747,0.9224893143,0.5655729303,0.7111098506,0.7233191387,0.2622898017,0.8546900701,0.7919605902,0.8188150464,0.9532945736,0.6671044423,0.8744596067,0.8611494737,0.2657042467,0.6953982042,0.8311679701,0.8394488548,0.4155777878
9,0.0001,0.1779942029,0.9075749983,0.9076003258,0.9306752761,0.9768743946,0.7162165734,0.866708928,0.8047027887,0.4772380034,0.7838004821,0.9771538186,0.8236866977,0.5505609301,0.8795383481,0.8846351239,0.9721564724,0.781823448,0.8221673293,0.9285956851,0.8917842802,0.6461220226,1.259396984,0.7753793607,0.7756137548,0.8769609142,0.8981840523,0.5128703832,0.684496943,0.6852558889,0.1688583177,0.8374517484,0.7443122612,0.8268497283,0.9411932557,0.6218847221,0.8949308518,0.8000644702,0.1706588445,0.6382890498,0.8127019118,0.8132366051,0.2889286325
10,0.0001,0.126406468,0.9080442538,0.9080610464,0.9336525253,0.9743749359,0.719058112,0.8663224816,0.8131736299,0.4776782246,0.7752722883,0.985776893,0.8248926768,0.5151472952,0.9093239317,0.877288216,0.9828292358,0.8678543432,0.8239536253,0.9283738369,0.8969616769,0.6465253621,1.465411299,0.7622542196,0.7644040236,0.8623618055,0.8977426102,0.4882850577,0.6846853349,0.6279560932,0.1522137448,0.8219055165,0.7487586681,0.7818660718,0.9350918096,0.6013604121,0.888903803,0.7613382669,0.1538391665,0.6161704241,0.8128346828,0.7714656382,0.2642109513
11,0.0001,0.1711550649,0.9120145099,0.9120462529,0.9343763244,0.9776064425,0.7253110491,0.8730615534,0.8131528056,0.4897187884,0.7901902957,0.9778305496,0.8326760996,0.5600642379,0.8861803654,0.8906920177,0.9719741028,0.7958749755,0.8288810601,0.9322294313,0.8969490084,0.6574647406,1.119954993,0.8097844149,0.811141089,0.8938287865,0.9145989543,0.5571331525,0.7275354298,0.7263052365,0.2175587912,0.8619637761,0.7794244545,0.8591735989,0.9472932748,0.6536151149,0.9161657675,0.8244550081,0.2202245693,0.6803688406,0.8422813416,0.8414563324,0.3573688478
12,0.0001,0.1207321832,0.9117614151,0.9117766205,0.9365801125,0.9751660971,0.7262342336,0.8716340728,0.8201125816,0.4869560464,0.7806460518,0.9866422535,0.8311779523,0.5241179495,0.9129898641,0.8820427932,0.9840263122,0.8729004869,0.8291840846,0.931415051,0.9011668727,0.6549703302,1.217648036,0.7832045869,0.7838903644,0.8723195242,0.9101992853,0.5733072876,0.6956245199,0.6480959755,0.3762013673,0.8227782882,0.7589787826,0.8143778478,0.8949782342,0.6822875452,0.8928593285,0.7604272992,0.3935760079,0.7178987759,0.8204935842,0.7864784395,0.5467243039
13,0.0001,0.116212665,0.9157251161,0.9157355942,0.9392999034,0.9764147347,0.7352284336,0.8773498783,0.8265225524,0.5018128702,0.7878254455,0.9871266896,0.8375937961,0.5387558507,0.917181683,0.8875044287,0.9842595234,0.8797810967,0.8359892475,0.9346684797,0.9050231011,0.6682761616,1.192527021,0.7949508393,0.7971582013,0.8824260963,0.910317381,0.5650890903,0.7153533295,0.6767669892,0.3031469523,0.8425348511,0.7866990475,0.791763701,0.9491418048,0.6729830771,0.8874874641,0.8233093006,0.3081524665,0.702180517,0.8340594525,0.8072284265,0.4652536719
